Smiles,PIC50
CN1C=C(N=C1)S(=O)(=O)N(CC2=CC=CC=C2)[C@H]3CC[C@H](C3)N(CC4=CN=CN4C)C5=CC=C(C=C5)C#N,6.187086643
C1=CC=NC(=C1)N/C=C/C2=NC3=C(C=C(C=C3Br)Br)C(=O)N2,4.15490196
C1=CC(=CC(=C1)NC(=O)CCCCCCC(=O)NO)C2=CN(N=N2)C3=CC(=CC(=C3)CO)CO,8.244125144
CC(=CCC[C@]\1(C/C=C(\C(=O)/C=C/[C@@]([C@@H](/C=C1)OC(=O)C=C(C)C)(C)OC)/COC)C)C,5.392544977
C1CC1C(C2=CC=CC=C2)NC(=O)C3=CC4=C(C=C3)NN=C4C5=CC=C(C=C5)OC6CCN(CC6)C=O,7.795880017
CC(=O)C1=CC=C(C=C1)C2=CC=C(C=C2)OCC3=NN=C(N3C4=CN=CC=C4)SC5CCCC5,7.187086643
C1CCC(CC1)(CNC(=O)C2=CC3=C(C=C2)NN=C3C4=CC=C(C=C4)N5CC6CCC(C5)O6)N7CCOCC7,7.744727495
C1CN(CCN1C2=NC(=NC(=N2)C3=CC=C(C=C3)N)N4CCOCC4)C(=O)C5=C(C=CC(=C5)CC6=NNC(=O)C7=CC=CC=C76)F,8.929962133
COC1=CC(=CC(=C1OC)OC)/C=C/2\CN(C=CC2=O)S(=O)(=O)C,4.798602876
CC[C@@H]1C(=O)N(C2=CN=C(N=C2N1C3CCCC3)NC4=C(C=C(C=C4)C(=O)NCC)OCCO)C,7.669992299
CC1C(=O)N(C2=C(N1C3CC3)C=C(C=C2)NS(=O)(=O)C4=CC=C(C=C4)OC)C,6.236572006
COC1=CC=C(C=C1)NCC(=O)NC2=CC=C(C=C2)C3=NC4=CC=CC=C4S3,5.187086643
CN(C)CCNC(=O)C1=C2C(=CC=C1)N=C3C=CC4=C(C3=N2)C=CC=C4C(=O)OC,7.040958608
CC1=C2C(=O)C=C(NC2=NC=C1)C3=CC=C(C=C3)OC,5.059999796
C1OC2=C(O1)C=C3C(=C2)C(=O)C=C(N3)C4=CC=CS4,5.660000322
COC1=CC2=C(C=CN=C2C=C1OC)OC3=CC4=NC=CC(=C4C=C3)C(=O)NC5=CC=C(C=C5)Cl,7.659952682
CN(C)CC(C(=O)OC)NC(=O)C1=C2C(=CC=C1)N=C3C=CC4=C(C3=N2)C=CC=C4OC,6.329754147
CC(C)N(CC(=O)NC1=CN=NC=C1)C(=O)COC2=CC=C(C=C2)OC,6.237321436
CC1=CN=C(N=C1NCC2=CC=C(C=C2)C3=CC(=NC=C3)C(F)(F)F)C4=CC=CC=C4C(C)C,6.494850022
CN1CCN(CC1)C2=NC=C(C=C2)C3=NNC4=C3C=CC(=C4)[C@@H]5C[C@]56C7=CC=CC=C7NC6=O,7.26760624
C1COCCN1C2=NC(=NC3=C2OC4=C3C=CC=N4)C5=CC(=CC=C5)O,8.13076828
CCCN1C(=O)C2=C(C(=CC=C2)OC)N3C1=NN=C3SC,4.301029996
C1CCC(C1)SC2=NN=C(N2C3=CN=CC=C3)COC4=CC(=CC(=C4)Cl)Cl,6.590066877
CNC1=NC=CC(=N1)OC2=CC3=C(C=C2)C(=CC=C3)C(=O)NC4=CC=C(C=C4)Cl,7.339988779
COC1=CC=CC=C1C2=NC3=CC=CC=C3C(=N2)NCC4=CC=C(C=C4)C5=CN=CC=C5,6.026872146
C1=CC=C(C(=C1)NC2=C3C=CN=CC3=C4C=CC=C(C4=N2)C(=O)N)F,8
CCNC(=O)C[C@H]1C2=NN=C(N2C3=C(C=C(C=C3)OC)C(=N1)C4=CC=C(C=C4)Cl)C,6.585026652
C1CCN(C1)C2=NC(=NC(=C2)C3=CC4=C(C=C3)C(=NN4)N)N,6.599997654
CC(=CCC[C@]\1(C/C=C(\C(/C=C/[C@@]([C@@H](/C=C1)OC(=O)C=C(C)C)(C)O)O)/C=O)C)C,6.619788758
CCNC1=NC(=C(S1)C2=NC(=NC=C2)NC3=CC=C(C=C3)N4CCOCC4)C,7.091514981
C1CNCCC1C2=C(C=C(N2)C3=CC=NC=C3)C(=O)N,5.886056648
C1CCN(CC1)CCN2C(=O)C3=C(C=CC(=C3)F)N4C2=NNC4=S,5.821023053
CC(=O)O[C@@H]1C[C@]2([C@@H](CC[C@@H]2O)C3=C1[C@]4([C@H](OC(=O)/C(=C/N5CCN(CC5)C6CCCCC6)/C4=C(C3=O)O)COC)C)C,7.366531544
CC1=CC=CC=C1C(=O)N[C@H](CO)C(=O)N[C@@H](C)C(=O)NC(CC2=CC=C(C=C2)N=C(N)N)P(=O)(OC3=CC=CC=C3)OC4=CC=CC=C4,8.301029996
CC(=O)O[C@@H]1C[C@]2([C@@H](CC[C@@H]2O)C3=C1[C@]4([C@H](OC(=O)/C(=C/N(C)CCCN5CCN(CC5)C)/C4=C(C3=O)O)COC)C)C,8
CC1C(=O)N(C2=C(N1CC3CCCO3)C=C(C=C2)NS(=O)(=O)C4=CC=C(C=C4)C)C,5.982966661
C1=CC(=CC=C1C2=CC=NC3=NNC(=C23)N)NC(=O)NC4=CC(=C(C=C4)F)Cl,8.292429824
CC1=C(SC=N1)C2=CC=C(C=C2)[C@H](C)NC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)COCCCOCC(=O)N4CCN(CC4)CC[C@H](CSC5=CC=CC=C5)NC6=C(C=C(C=C6)S(=O)(=O)NC(=O)C7=CC=C(C=C7)N8CCN(CC8)CC9=C(CCC(C9)(C)C)C1=CC=C(C=C1)Cl)S(=O)(=O)C(F)(F)F)O,6.634512015
CC(C1=CC=C(C=C1)N2CCN(C2=O)C)C(=O)NC3=NNC(=C3)C4CC4,7.537602002
CCN1/C(=C/C2=[N+](C=CS2)CC3=C(C=CC=C3Cl)Cl)/S/C(=C/4\N(C5=C(S4)C=CC(=C5)C)C)/C1=O.[Cl-],7.26760624
COCCNC(=O)C1=CC=C(C=C1)NC2=NC=C3C=C(C=CC3=N2)C4=C(C=NC=C4)OC,6.576754126
C1=CC=C(C=C1)CNC(=O)[C@H](CCCCCC(=O)NO)NC(=O)CC2=CC=C(C=C2)C3=CC=CC=C3,5.627087997
CC1=C(SC(=N1)C)C2=NC(=NC=C2)NC3=CC=C(C=C3)N4CCN(CC4)C(=O)C,6.518557371
CN1CCN(CC1)CCCNC2=NC3=NC(=C(C=C3C=N2)C4=C(C=CC=C4Cl)Cl)N,6.346787486
CC1=CC=C(C2=NC3=CC=CC(=C3N=C12)C(=O)NCCCN(C)CCCNC(=O)C4=C5C(=CC=C4)N=C6C(=CC=C(C6=N5)C)Cl)Cl,7.537602002
C[C@@H](C1=CC=C(C=C1)NC2=NC=C3C=C(C=CC3=N2)C4=CC=NC=C4)NC(=O)CCOC,7.292429824
C/C=C/C(=O)O[C@H]1C=CC(=O)[C@]2([C@]13[C@H](O3)C[C@@H]4[C@@H]2CC[C@]5([C@]4([C@H](C=C5[C@H](C)[C@H]6CC(=C(C(=O)O6)C)C)OC(=O)C)O)C)C,6.431798276
